"name","description"
"Blues","Description of Blues"
"Brass & Military","Description of Brass & Military"
"Children's","Description of Children's"
"Classical","Description of Classical"
"Electronic","Description of Electronic"
"Folk, World, & Country","Description of Folk, World, & Country"
"Funk / Soul","Description of Funk / Soul"
"Hip-Hop","Description of Hip-Hop"
"Jazz","Description of Jazz"
"Latin","Description of Latin"
"Non-Music","Description of Non-Music"
"Pop","Description of Pop"
"Reggae","Description of Reggae"
"Rock","Description of Rock"
"Stage & Screen","Description of Stage & Screen"
