"gvl_code","name"
"00001","Ultraphone / Ult"
"00002","Paetec"
"00003","Nytingale Records"
"00004","Freshdax Records"
"00005","Campus recordum"
"00006","Leondra Music"
"00007","Valois"
"00008","Leiselaut"
"00009","Immediate"
"00010","Schallpark Recordings"
"00011","Granaten Records"
"00012","Edisonor"
"00013","Audentity"
"00014","Blue Stuff Records"
"00015","Tang"
"00016","Victory Records"
"00017","Aline Davis Musikproduktion"
"00018","Naxab"
"00019","Mauseschwanz Records"
"00020","Cattitude Records"
"00021","ImHerz"
"00022","Vocalion/Voca"
"00023","Polish Records"
"00024","Royal Bunker"
"00025","Danish Point Records / POI"
"00026","Vervetone"
"00027","Audioson"
"00028","Ermitage"
"00029","Jump Line"
"00030","Iramac"
"00031","RGM"
"00032","Waterman Music"
"00033","Fun & Music"
"00034","Lyrita Recorded Edition"
"00035","Wing Records"
"00036","Schmitt Mediatechnik"
"00037","1000 und 1 Klang Records"
"00038","Altrichter Music"
"00039","Edition Laura"
"00040","World Pacific Records"
"00041","Moon Mind Records"
"00042","Savoir Faire Records"
"00043","Robot-Trax"
"00044","Seraphim"
"00045","Hubermusic"
"00046","Delicate Frame Records"
"00047","HELT (single artist: singer/songwriter Helt Oncale"
"00048","Lora Music"
"00049","Sai So Sounds"
"00050","Alco"
"00051","Alhambra Records"
"00052","Allegro"
"00053","Blue Shade Edition"
"00054","BRISHNI BRASHNI REC"
"00055","Amiga"
"00056","redwinetunes"
"00057","PHAN THOM - HÖRSPIELE"
"00058","Ausfahrt Records"
"00059","Dynasound"
"00060","Apollo Sound"
"00061","AVOID"
"00062","Nesta Recordings"
"00063","Incendiary Records"
"00064","Verlag Singende Gemeinde"
"00065","Capella"
"00066","Moon (single artist: Volker Rosin"
"00067","Bärry"
"00068","ProMedia GmbH"
"00069","Step Music"
"00070","Iron Pages Records"
"00071","Utility Music Production (single artist: Georgi Georgiev"
"00072","Austria"
"00073","Sinnbus Records"
"00074","Whirlwind Records"
"00075","KNUTSCH RECORDS"
"00076","ComePRODUCTS"
"00077","Egostyle Music"
"00078","Big Flavour Records"
"00079","Ensayo"
"00080","PICAROmedia"
"00081","DICORE"
"00082","Sunday Service"
"00083","Gift Music"
"00084","Force Sense"
"00085","Green Music"
"00086","Bevision"
"00087","MUSICPARK (Austria"
"00088","westermann"
"00089","DENTZER-MUSIKPRODUKTION-52066 (DNB: one release"
"00090","MANGNALI RECORDS (DNB: one release"
"00091","ZAUBERKÜRBIS (Various Artists releases"
"00092","philigran (DNB: one release"
"00093","Almenland Records"
"00094","Commodore Records"
"00095","MS Music"
"00096","JACQUES BONO Records (single artist: Jacques Bono"
"00097","starschnitt records (DNB: one release"
"00098","Bethlehem Records"
"00099","AX'S Music"
"00100","LUMAS RECORDS"
