"gvl_code","name"
"00000","[Label without GVL label code]"
"00001","Ultraphone / Ult"
"00002","Paetec"
"00003","Nytingale Records"
"00004","Freshdax Records"
"00005","Campus recordum"
"00006","Leondra Music"
"00007","Valois"
"00008","Leiselaut"
"00009","Immediate"
"00010","Schallpark Recordings"
"00011","Granaten Records"
"00012","Edisonor"
"00013","Audentity"
"00014","Blue Stuff Records"
"00015","Tang"
"00016","Victory Records"
"00017","Aline Davis Musikproduktion"
"00018","Naxab"
"00019","Mauseschwanz Records"
"00020","Cattitude Records"
"00021","ImHerz"
"00022","Vocalion/Voca"
"00023","Polish Records"
"00024","Royal Bunker"
"00025","Danish Point Records / POI"
"00026","Vervetone"
"00027","Audioson"
"00028","Ermitage"
"00029","Jump Line"
"00030","Iramac"
"00031","RGM"
"00032","Waterman Music"
"00033","Fun & Music"
"00034","Lyrita Recorded Edition"
"00035","Wing Records"
"00036","Schmitt Mediatechnik"
"00037","1000 und 1 Klang Records"
"00038","Altrichter Music"
"00039","Edition Laura"
"00040","World Pacific Records"
"00041","Moon Mind Records"
"00042","Savoir Faire Records"
"00043","Robot-Trax"
"00044","Seraphim"
"00045","Hubermusic"
"00046","Delicate Frame Records"
"00047","HELT (single artist: singer/songwriter Helt Oncale)"
"00048","Lora Music"
"00049","Sai So Sounds"
"00050","Alco"
"00051","Alhambra Records"
"00052","Allegro"
"00053","Blue Shade Edition"
"00054","BRISHNI BRASHNI REC."
"00055","Amiga"
"00056","redwinetunes"
"00057","PHAN THOM - HÖRSPIELE"
"00058","Ausfahrt Records"
"00059","Dynasound"
"00060","Apollo Sound"
"00061","AVOID"
"00062","Nesta Recordings"
"00063","Incendiary Records"
"00064","Verlag Singende Gemeinde"
"00065","Capella"
"00066","Moon (single artist: Volker Rosin)"
"00067","Bärry"
"00068","ProMedia GmbH"
"00069","Step Music"
"00070","Iron Pages Records"
"00071","Utility Music Production (single artist: Georgi Georgiev)"
"00072","Austria"
"00073","Sinnbus Records"
"00074","Whirlwind Records"
"00075","KNUTSCH RECORDS"
"00076","ComePRODUCTS"
"00077","Egostyle Music"
"00078","Big Flavour Records"
"00079","Ensayo"
"00080","PICAROmedia"
"00081","DICORE"
"00082","Sunday Service"
"00083","Gift Music"
"00084","Force Sense"
"00085","Green Music"
"00086","Bevision"
"00087","MUSICPARK (Austria)"
"00088","westermann"
"00089","DENTZER-MUSIKPRODUKTION-52066 (DNB: one release)"
"00090","MANGNALI RECORDS (DNB: one release)"
"00091","ZAUBERKÜRBIS (Various Artists releases)"
"00092","philigran (DNB: one release)"
"00093","Almenland Records"
"00094","Commodore Records"
"00095","MS Music"
"00096","JACQUES BONO Records (single artist: Jacques Bono)"
"00097","starschnitt records (DNB: one release)"
"00098","Bethlehem Records"
"00099","AX'S Music"
"00100","LUMAS RECORDS"
"00101","5-HT Records"
"00102","Athena"
"00103","Cadet"
"00104","Carla"
"00106","Homebase Records"
"00107","Amadeo"
"00108","Amy"
"00110","Angel"
"00111","Équinoxe Records, E-Noxe"
"00112","KDB"
"00113","Archiv Produktion"
"00115","Argo"
"00116","Ariola Records, (Music [At] Lounge, Music Mobil, Richwood Music-Production)"
"00117","Ariola Athena"
"00118","Artone"
"00119","Charlie Parker"
"00120","Atco Records"
"00121","Atlantic"
"00122","Audio Fidelity"
"00124","Baccarola"
"00125","Bang"
"00126","Barclay"
"00130","Bell Records"
"00131","Beltone Records"
"00133","Blue Note Records"
"00134","Blue Star"
"00136","Brunswick Records, Target Music"
"00137","Buena Vista Music Group"
"00138","Free Elephant"
"00142","Creazioni Artistiche Musicali (CAM) / Amico / Campieditore / Det / Gong / Phoenix / TV Film / TV Sorrisi E Canzoni"
"00143","Camden"
"00144","Four Music"
"00145","b connected"
"00147","Cantate"
"00148","Capitol Records"
"00149","CBS, (A&R Records, Tabu)"
"00150","CGD / CGD-Ascolio / CGD-Come Il Vento / CGD-Paradiso / CGD-Vanilla"
"00156","Chess Records"
"00157","Circus"
"00159","ClassicArchive / Classic"
"00160","CNR"
"00162","Columbia Records, Columbia (EMI)"
"00163","Command"
"00164","Contemporary"
"00165","Contrepoint"
"00166","Coral"
"00167","Start"
"00171","Decca Records"
"00172","Komfort Musik"
"00173","Deutsche Grammophon"
"00175","Deutsche Vogue"
"00176","Diamond"
"00178","Discophiles Francais"
"00180","Disc AZ"
"00181","Disneyland"
"00182","No Turn Records"
"00183","Dixieland Jubilee"
"00184","Dot"
"00192","Elektra Records"
"00193","Electrola, (Artlos)"
"00194","Elite Special"
"00195","Embassy"
"00197","Alien Transistor"
"00199","Epic Records, (Tabu)"
"00200","Erato, Detour"
"00202","Eurodisc"
"00204","Rosenstern Music"
"00210","Fonit"
"00211","Fontana"
"00212","Pulver Records"
"00214","Dog & Bone Records"
"00220","Gloria"
"00222","kubamusic"
"00226","Good Time Jazz"
"00227","Gordy Records"
"00233","His Master's Voice"
"00235","Rephlex"
"00236","Impulse"
"00238","Jazz Selection"
"00245","Karussell"
"00249","Liberty Records"
"00252","Logo"
"00253","London Records"
"00254","Éditions de l' Oiseau-Lyre"
"00268","Mercury Records, (Def Jam Recordings, Polygram, Tuff Audio)"
"00269","MGM Records"
"00270","Metronome Musik"
"00271","Climax"
"00272","MK-Music"
"00274","Music (Delta Music)"
"00280","Musidisc"
"00284","New Jazz"
"00286","Nonesuch Records"
"00287","Odeon"
"00288","OKeh Records"
"00299","Parlophone"
"00300","Pathé"
"00305","Philips, (Shaman)"
"00309","Polydor, B&M Music, Exile, XPLO Music"
"00310","Polyphon"
"00312","Final Chapter"
"00313","Prestige Records"
"00315","Pye Records"
"00316","RCA Records, Loud Records"
"00318","Mimikry Music"
"00322","Reprise Records"
"00325","Riverside / Atlantic Masters"
"00328","Tonsee Records"
"00331","Pyramid Music"
"00332","Roulette"
"00336","Saga"
"00337","Savoy"
"00341","Def Jam Music Group"
"00345","Society For Forgotten Music"
"00346","Sonet"
"00347","Zenith Records"
"00351","Star Club"
"00356","Storyville"
"00358","Supraphon"
"00363","Tamla-Motown"
"00366","Telefunken"
"00372","Transatlantic"
"00375","Testament"
"00377","Turnabout"
"00378","Liberty Records"
"00379","United Artists, Liberty Records"
"00381","Vanguard Records"
"00383","Verve Records"
"00385","Victor Musical Industries"
"00390","Vogue"
"00391","Vox, (Turnabout)"
"00392","Warner Bros. Records, (Giant Records, Opal Records, Paisley Park Records)"
"00396","World Records"
"00404","NANDL-SoundMusic"
"00405","Chic"
"00406","Die Volksplatte"
"00407","Island Records, Antilles, Axiom, Delicious Vinyl Inc., Gee Street Records, Mango Records, Mango Street, Temptation Records"
"00409","Hit-ton"
"00410","Pepper Records"
"00413","Tokabeatz"
"00417","Joschi-Meyer-Music"
"00418","Musaique Records"
"00420","Chimperator Productions"
"00422","Heckenreiter Records"
"00423","GIM Records"
"00427","Sloflo Music"
"00428","Monument Records"
"00436","NachtwaertZ"
"00447","Orkaan Music+Art Productions"
"00448","Edition Hieber"
"00454","ABC Records"
"00460","Track"
"00463","Eat the Beat Music"
"00464","MFP"
"00465","Novola"
"00467","Tojarecords"
"00468","Tempo Schallplatten"
"00469","Major Minor"
"00470","Phonetic Records, Midge Records"
"00473","Elephant Music"
"00474","Antifunk Records"
"00475","Nitty Gritty Music"
"00478","Topic Records"
"00480","Useful Music"
"00481","Laski Music"
"00485","A&M Records, Atlas Recordings"
"00490","Generalmusikverlag Gerhard & Brodowy Gbr"
"00491","GNP-Crescendo Record Co.,Inc"
"00493","Xenophon"
"00496","Traum Schallplatten, (My Best Friend)"
