"name","description"
"AOR","Description of AOR"
"Aboriginal","Description of Aboriginal"
"Abstract","Description of Abstract"
"Acid","Description of Acid"
"Acid House","Description of Acid House"
"Acid Jazz","Description of Acid Jazz"
"Acid Rock","Description of Acid Rock"
"Acoustic","Description of Acoustic"
"African","Description of African"
"Afro-Cuban","Description of Afro-Cuban"
"Afro-Cuban Jazz","Description of Afro-Cuban Jazz"
"Afrobeat","Description of Afrobeat"
"Alternative Rock","Description of Alternative Rock"
"Ambient","Description of Ambient"
"Andalusian Classical","Description of Andalusian Classical"
"Arena Rock","Description of Arena Rock"
"Art Rock","Description of Art Rock"
"Audiobook","Description of Audiobook"
"Avant-garde Jazz","Description of Avant-garde Jazz"
"Avantgarde","Description of Avantgarde"
"Axé","Description of Axé"
"Azonto","Description of Azonto"
"Bachata","Description of Bachata"
"Ballad","Description of Ballad"
"Ballroom","Description of Ballroom"
"Baltimore Club","Description of Baltimore Club"
"Bangladeshi Classical","Description of Bangladeshi Classical"
"Barbershop","Description of Barbershop"
"Baroque","Description of Baroque"
"Basque Music","Description of Basque Music"
"Bass Music","Description of Bass Music"
"Bassline","Description of Bassline"
"Batucada","Description of Batucada"
"Bayou Funk","Description of Bayou Funk"
"Beat","Description of Beat"
"Beatbox","Description of Beatbox"
"Beatdown","Description of Beatdown"
"Beguine","Description of Beguine"
"Berlin-School","Description of Berlin-School"
"Bhangra","Description of Bhangra"
"Big Band","Description of Big Band"
"Big Beat","Description of Big Beat"
"Black Metal","Description of Black Metal"
"Bluegrass","Description of Bluegrass"
"Blues Rock","Description of Blues Rock"
"Bolero","Description of Bolero"
"Bollywood","Description of Bollywood"
"Bongo Flava","Description of Bongo Flava"
"Boogaloo","Description of Boogaloo"
"Boogie","Description of Boogie"
"Boogie Woogie","Description of Boogie Woogie"
"Boom Bap","Description of Boom Bap"
"Bop","Description of Bop"
"Bossa Nova","Description of Bossa Nova"
"Bossanova","Description of Bossanova"
"Bounce","Description of Bounce"
"Brass Band","Description of Brass Band"
"Break-In","Description of Break-In"
"Breakbeat","Description of Breakbeat"
"Breakcore","Description of Breakcore"
"Breaks","Description of Breaks"
"Brit Pop","Description of Brit Pop"
"Britcore","Description of Britcore"
"Broken Beat","Description of Broken Beat"
"Bubblegum","Description of Bubblegum"
"Bubbling","Description of Bubbling"
"Cajun","Description of Cajun"
"Calypso","Description of Calypso"
"Cambodian Classical","Description of Cambodian Classical"
"Candombe","Description of Candombe"
"Canzone Napoletana","Description of Canzone Napoletana"
"Cape Jazz","Description of Cape Jazz"
"Carnatic","Description of Carnatic"
"Catalan Music","Description of Catalan Music"
"Celtic","Description of Celtic"
"Cha-Cha","Description of Cha-Cha"
"Chacarera","Description of Chacarera"
"Chamamé","Description of Chamamé"
"Champeta","Description of Champeta"
"Chanson","Description of Chanson"
"Charanga","Description of Charanga"
"Chicago Blues","Description of Chicago Blues"
"Chillwave","Description of Chillwave"
"Chinese Classical","Description of Chinese Classical"
"Chiptune","Description of Chiptune"
"Choral","Description of Choral"
"Classic Rock","Description of Classic Rock"
"Classical","Description of Classical"
"Cloud Rap","Description of Cloud Rap"
"Coldwave","Description of Coldwave"
"Comedy","Description of Comedy"
"Compas","Description of Compas"
"Conjunto","Description of Conjunto"
"Conscious","Description of Conscious"
"Contemporary","Description of Contemporary"
"Contemporary Jazz","Description of Contemporary Jazz"
"Contemporary R&B","Description of Contemporary R&B"
"Cool Jazz","Description of Cool Jazz"
"Copla","Description of Copla"
"Corrido","Description of Corrido"
"Country","Description of Country"
"Country Blues","Description of Country Blues"
"Country Rock","Description of Country Rock"
"Crunk","Description of Crunk"
"Crust","Description of Crust"
"Cuatro","Description of Cuatro"
"Cubano","Description of Cubano"
"Cumbia","Description of Cumbia"
"Cut-up/DJ","Description of Cut-up/DJ"
"DJ Battle Tool","Description of DJ Battle Tool"
"Dance-pop","Description of Dance-pop"
"Dancehall","Description of Dancehall"
"Danzon","Description of Danzon"
"Dark Ambient","Description of Dark Ambient"
"Darkwave","Description of Darkwave"
"Death Metal","Description of Death Metal"
"Deathcore","Description of Deathcore"
"Deathrock","Description of Deathrock"
"Deep House","Description of Deep House"
"Deep Techno","Description of Deep Techno"
"Delta Blues","Description of Delta Blues"
"Descarga","Description of Descarga"
"Dialogue","Description of Dialogue"
"Disco","Description of Disco"
"Disco Polo","Description of Disco Polo"
"Dixieland","Description of Dixieland"
"Donk","Description of Donk"
"Doo Wop","Description of Doo Wop"
"Doom Metal","Description of Doom Metal"
"Doomcore","Description of Doomcore"
"Downtempo","Description of Downtempo"
"Drone","Description of Drone"
"Drum n Bass","Description of Drum n Bass"
"Dub","Description of Dub"
"Dub Poetry","Description of Dub Poetry"
"Dub Techno","Description of Dub Techno"
"Dubstep","Description of Dubstep"
"Dungeon Synth","Description of Dungeon Synth"
"EBM","Description of EBM"
"Early","Description of Early"
