"name","description"
"A clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Acchan chenda","membranophones, drum, percussion, India (211.212)"
"Accordina (instrument)","aerophones, clarinet, free reed instruments, Italy (412.132)"
"Accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"Accordola ","aerophones, mouth organ, free reed instruments, United States of America (412.132)"
"Acoustic bass guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Acoustic guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Acoustic-electric guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Adungu","chordophones,  stringed instruments, Uganda (3)"
"Aeolian harp","chordophones,  stringed instruments, Germany (3)"
"Afoxé","idiophones,  unpitched percussion, Edo (Nigeria), Brazil (112.122)"
"Agida","membranophones, bass drum, percussion, Suriname (201.212)"
"Agogô","idiophones, bell, unpitched percussion, Yoruba (111.242)"
"Agung","idiophones, slit drum, unpitched percussion, Indonesia (111.241.2)"
"Air horn","aerophones, Trumpet, Plosive?,  (423)"
"Ajaeng","chordophones,  stringed instruments, Korea (3)"
"Akkordolia","chordophones,  stringed instruments, Austria, Germany (3)"
"Alboka","aerophones, clarinet, reed instruments, Basque Country (422.2)"
"Alfaia","membranophones,  percussion, Brazil (211.212.1)"
"Algaita","aerophones,  reed instruments, Niger"
"Algerian mandole","chordophones,  stringed instruments, Algeria, Berbers, Saudi Arabia, Tunisia (321.322)"
"AlphaSphere",""
"Alphorn","aerophones, natural trumpet, woodwinds, Switzerland (423.121.22)"
"Alpine zither (harp zither)","chordophones,  stringed instruments, Belarus, Croatia, Czech, Germany, Hungary, Poland, Russia, Slovakia, Slovenia, Switzerland, Ukraine, (314.122)"
"Alto clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Alto flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Alto guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Alto horn","aerophones, trumpet, brass instruments, Belgium (423.232)"
"Alto sackbut","aerophones, trombone, brass instruments, France (423.22)"
"Alto sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Alto saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Alto trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Alto viol","chordophones,  stringed instruments, Spain (321.322-71)"
"Angklung","idiophones,  pitched percussion, Indonesia (111.232)"
"Angélique","chordophones,  stringed instruments,  (321.321)"
"Apinti","membranophones, tenor drum, percussion, Suriname (211.212)"
"Appalachian dulcimer","chordophones,  stringed instruments, Germany, United States (3)"
"Arbajo","chordophones,  stringed instruments, Nepal (321.321-6)"
"Archlute","chordophones,  stringed instruments, Western Europe (321.321)"
"Archtop guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
